cluster	gene	avg_log2FC	pct.1	pct.2	pct.diff	p_val	p_val_adj
4	CRHBP	2.18051119571027	0.858	0.039	0.819	0	0
4	AC011139.1	1.91303164817983	0.582	0.013	0.569	0	0
4	SPINK2	1.89839504053063	0.954	0.172	0.782	0	0
4	H1F0	1.71361614640833	0.819	0.157	0.662	0	0
4	CD34	1.58668350494118	0.908	0.169	0.739	0	0
4	FAM30A	1.56648000852285	0.881	0.191	0.69	0	0
4	EGFL7	1.55497512037962	0.92	0.195	0.725	0	0
4	ZFAS1	1.55046216069026	0.998	0.724	0.274	0	0
4	SERPINB1	1.51548479208938	0.988	0.535	0.453	0	0
4	CYTL1	1.4496600747726	0.839	0.138	0.701	0	0
4	PRDX1	1.42349930918543	0.972	0.541	0.431	0	0
4	TSC22D1	1.39567262701706	0.788	0.163	0.625	0	0
4	SMIM24	1.34409879080998	0.87	0.171	0.699	0	0
4	CD164	1.34073931808477	0.968	0.493	0.475	0	0
4	HSP90AB1	1.25550994444103	0.999	0.857	0.142	0	0
4	MDK	1.24034103064836	0.679	0.088	0.591	0	0
4	ANKRD28	1.20188208738512	0.794	0.195	0.599	0	0
4	IL18	1.19526877837472	0.803	0.157	0.646	0	0
4	SYPL1	1.19373417531491	0.935	0.4	0.535	0	0
4	CDK6	1.13770890767442	0.871	0.312	0.559	0	0
4	RPS2	1.1252625525114	0.992	0.851	0.141	0	0
4	DDAH2	1.11571990674315	0.882	0.273	0.609	0	0
4	NPR3	1.10233981940639	0.716	0.093	0.623	0	0
4	GNA15	1.10076526119239	0.761	0.174	0.587	0	0
4	LAPTM4A	1.05492233806367	0.953	0.448	0.505	0	0
4	NPM1	1.0530478964853	1	0.933	0.067	0	0
4	TALDO1	1.02870563881873	0.985	0.538	0.447	0	0
4	HINT1	1.02782538004002	1	0.908	0.092	0	0
4	ALDH1A1	1.02529340098754	0.699	0.11	0.589	0	0
4	SNHG8	1.01436967525787	0.972	0.604	0.368	0	0
4	AC084033.3	1.01179557626627	0.826	0.273	0.553	0	0
4	IMPDH2	1.00835770900194	0.94	0.423	0.517	0	0
4	AIF1	1.00588729595376	0.983	0.37	0.613	0	0
4	HSPA1A	1.00482037219173	0.563	0.14	0.423	0	0
4	RPS4X	1.00407234682808	1	0.998	0.002	0	0
4	AREG	1.36298039207489	0.596	0.25	0.346	8.93711925625001e-275	1.75855695605231e-270
9	SPINK2	2.16737359759108	0.994	0.191	0.803	0	0
9	SMIM24	2.09393403997981	0.991	0.184	0.807	0	0
9	PRSS57	1.77103058645218	0.984	0.234	0.75	0	0
9	AREG	1.58379470661187	0.822	0.25	0.572	0	0
9	SERPINB1	1.4873154801047	0.995	0.547	0.448	0	0
